rating,reviewerID,product_id,date
5,AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,B00HLSSQKK,1608046142
4,AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,B002PXW04Y,1470972512
5,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B00HCR5090,1396827173
5,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B0000ARXXS,1181880255
1,AFUB7CHTXRPD447QVQCHBZVN2IPQ,B0025ZOVEO,1591046680
2,AFPHKIJFGIU4G4POXRFCEF5RJJHA,B002WWMCAA,1427767395
5,AFPHKIJFGIU4G4POXRFCEF5RJJHA,B001THPA4Y,1427767342
5,AGRUKTHXESHTPHHK4GQYQNRFZP3A,B00005R8BR,1673733658
5,AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,B002PXVZ5O,1635870688
5,AEYGPUCRKH7G4VM22FM3VAKSQ23Q,B00006KSSX,1362707862
5,AF3I5VHFNDTD3CUFMEPULGWMAMKA,B000W3MB5M,1297349497
5,AES64NEMPYRENBT6PGCOYYBVDSWQ,B000FTJ7JQ,1434475361
5,AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01IAIX74Y,1641846419
5,AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01FV50UIK,1640114182
5,AHWAIBCVNSK4HAJFE5DNRP636L2A,B002PXVYEQ,1455837988
5,AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,B001C4Q06G,1266896366
1,AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LY3VKMY,1522546622
1,AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LZQEACQ,1522524767
2,AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B000063XJL,1127183958
5,AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B00005Q7DJ,1127183434
5,AHBIEPRTTYN6PDTDNDIQJKKETJIQ,B0037STB02,1494784462
5,AEQ7Y56NEUZTFG2QJYQ4T32EIUZA,B00006KOL8,1196699321
5,AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B0032KHQTS,1605129604
5,AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B06XWB4X41,1594588833
4,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B001U5SPHO,1571847579
5,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B000H4W7VY,1419271697
4,AFE454TBPJXVP55M6STLR6R5664A,B004GVZUUY,1623010282
5,AFXFEXKD2XNGFLVJ2MMAXNYJSDAQ,B002PXW26A,1441231169
5,AE2JU3MEWV5JD7DLS5RLWRQK2OQQ,B00FP5A13G,1404925228
5,AGAM2CCKV52HI4YZU7ASZTSXA7YQ,B003N3QRFI,1605994656
5,AE2VZF52AHYFDF3RAWZ67QHLYLRA,B00079RO7G,1470236751
5,AF6AK5OVE22L55JHPJZITX5SFAUQ,B0029XHGVC,1573588200
5,AF6AK5OVE22L55JHPJZITX5SFAUQ,B0029XHGSK,1573587647
5,AEPEQWZ3XSLBKE6RSCNKXGO6YN3A,B0061SHL16,1555640958
